"","Method","Index","Date","Loc","SVL","Mass","Microhabitat","Pads","Color","Eggs","Recap","PIT_ID","Stage","Underground","tran2017","newindex"
"2405","RoadVES",1655,"18-May-17","","44.7","","","N","GY","N","","","SNBA","","NO",2405
"2406","RoadVES",644,"9-May-16","4118457","44.8","11.4","L.L.","N","GY","N","","","SNBA","","NO",2406
"2407","RoadVES",846,"21-Jun-16","4118580","44.8","-","L.L.","N","GY","N","","","SNBA","","NO",2407
"2408","RoadVES",1032,"11-May-17","","44.8","","","N","GY","N","","","SNBA","","NO",2408
"2409","RoadVES",1551,"16-May-17","","44.8","","","N","GY","N","","","SNBA","","NO",2409
"2410","RoadVES",1698,"17-May-17","","44.8","","","N","DY","N","","","SNBA","","NO",2410
"2411","RoadVES",355,"22-Apr-16","4118460","44.9","-","L.L.","N","Y","N","","","SNBA","","NO",2411
"2412","RoadVES",1046,"11-May-17","","44.9","","","N","G","N","","","SNBA","","NO",2412
"2413","RoadVES",1870,"18-May-17","","44.9","","","N","GY","N","","","SNBA","","NO",2413
"2414","RoadVES",475,"27-Apr-16","4118404","45","-","L.L.","N","GY","N","","","SNBA","","NO",2414
"2415","RoadVES",938,"11-Jul-16","-","45","","L.L.","N","GY","N","","","SNBA","","NO",2415
"2416","RoadVES",1119,"11-May-17","","45","","","N","GY","N","","","SNBA","","NO",2416
"2417","RoadVES",1204,"14-May-17","","45","","","N","DY","N","","","SNBA","","NO",2417
"2418","RoadVES",1527,"16-May-17","","45","","","N","GY","N","","","SNBA","","NO",2418
"2419","RoadVES",1841,"18-May-17","","45","","","N","GY","N","","","SNBA","","NO",2419
"2420","RoadVES",1876,"18-May-17","","45","","","N","DY","N","","","SNBA","","NO",2420
"2421","RoadVES",2170,"19-May-17","","45","","","N","DY","N","","","SNBA","","NO",2421
"2422","RoadVES",350,"22-Apr-16","4118460","45.1","-","L.L.","N","G","N","","","SNBA","","NO",2422
"2423","RoadVES",970,"20-Jul-16","4119769","45.1","-","L.L.","N","GY","N","","","SNBA","","NO",2423
"2424","RoadVES",1609,"17-May-17","","45.1","","","N","GY","N","","","SNBA","","NO",2424
"2425","RoadVES",1201,"14-May-17","","45.2","","","N","G","N","","","SNBA","","NO",2425
"2426","RoadVES",903,"11-Jul-16","-","45.3","10.2","L.L.","N","GY","N","","","SNBA","","NO",2426
"2427","RoadVES",949,"20-Jul-16","4119769","45.3","-","L.L.","N","G","N","","","SNBA","","NO",2427
"2428","RoadVES",363,"22-Apr-16","4118460","45.4","-","L.L.","N","DY","N","","","SNBA","","NO",2428
"2429","RoadVES",1437,"16-May-17","","45.4","","","N","G","N","","","SNBA","","NO",2429
"2430","RoadVES",456,"23-Apr-16","4118460","45.5","-","L.L.","N","G","N","","","SNBA","","NO",2430
"2431","RoadVES",826,"21-Jun-16","4118580","45.5","-","L.L.","N","GY","N","","","SNBA","","NO",2431
"2432","RoadVES",1517,"17-May-17","","45.5","","","N","GY","N","","","SNBA","","NO",2432
"2433","RoadVES",1531,"16-May-17","","45.6","","","N","Y","N","","","SNBA","","NO",2433
"2434","RoadVES",2056,"19-May-17","","45.6","","","N","GY","N","","","SNBA","","NO",2434
"2435","RoadVES",2148,"19-May-17","","45.6","","","N","GY","N","","","SNBA","","NO",2435
"2436","RoadVES",736,"11-May-16","4118567","45.7","10.9","L.L.","N","DY","N","","","SNBA","","NO",2436
"2437","RoadVES",895,"1-Jul-16","4118810","45.7","-","L.L.","N","GY","N","","","SNBA","","NO",2437
"2438","RoadVES",2203,"20-May-17","","45.7","","","N","GY","N","","","SNBA","","NO",2438
"2439","RoadVES",477,"27-Apr-16","4118404","45.8","10","L.L.","N","DY","N","","","SNBA","","NO",2439
"2440","RoadVES",508,"28-Apr-16","4118404","45.8","-","L.L.","N","G","N","","","SNBA","","NO",2440
"2441","RoadVES",679,"10-May-16","4118457","45.8","9.5","L.L.","N","GY","N","","","SNBA","","NO",2441
"2442","RoadVES",932,"11-Jul-16","-","45.8","","L.L.","N","GY","N","","","SNBA","","NO",2442
"2443","RoadVES",388,"22-Apr-16","4118460","46.1","-","L.L.","N","DY","N","","","SNBA","","NO",2443
"2444","RoadVES",688,"10-May-16","4118457","46.1","PEED","L.L.","N","DY","N","","","SNBA","","NO",2444
"2445","RoadVES",740,"11-May-16","4118567","46.1","-","L.L.","N","GY","N","","","SNBA","","NO",2445
"2446","RoadVES",856,"21-Jun-16","4118580","46.1","-","L.L.","N","GY","N","","","SNBA","","NO",2446
"2447","RoadVES",1441,"16-May-17","","46.1","","","N","GY","N","","","SNBA","","NO",2447
"2448","RoadVES",1467,"16-May-17","","46.1","","","N","GY","N","","","SNBA","","NO",2448
"2449","RoadVES",450,"23-Apr-16","4118460","46.2","-","L.L.","N","G","N","","","SNBA","","NO",2449
"2450","RoadVES",1045,"11-May-17","","46.2","","","N","DY","N","","","SNBA","","NO",2450
"2451","RoadVES",1146,"11-May-17","","46.2","","","N","G","N","","","SNBA","","NO",2451
"2452","RoadVES",1446,"16-May-17","","46.2","","","N","Y","N","","","SNBA","","NO",2452
"2453","RoadVES",1492,"16-May-17","","46.2","","","N","DY","N","","","SNBA","","NO",2453
"2454","RoadVES",2123,"19-May-17","","46.2","","","N","GY","N","","","SNBA","","NO",2454
"2455","RoadVES",505,"28-Apr-16","4118404","46.3","-","L.L.","N","GY","N","","","SNBA","","NO",2455
"2456","RoadVES",1519,"17-May-17","","46.3","","","N","G","N","","","SNBA","","NO",2456
"2457","RoadVES",1871,"18-May-17","","46.3","","","N","DY","N","","","SNBA","","NO",2457
"2458","RoadVES",2099,"19-May-17","","46.3","","","N","GY","N","","","SNBA","","NO",2458
"2459","RoadVES",552,"28-Apr-16","4118404","46.4","11","L.L.","N","G","N","","","SNBA","","NO",2459
"2460","RoadVES",806,"23-May-16","-","46.4","-","L.L.","N","DY","N","","","SNBA","","NO",2460
"2461","RoadVES",918,"11-Jul-16","-","46.4","11.4","L.L.","N","DY","N","","","SNBA","","NO",2461
"2462","RoadVES",1148,"11-May-17","","46.4","","","N","G","N","","","SNBA","","NO",2462
"2463","RoadVES",1632,"17-May-17","","46.4","","","N","G","N","","","SNBA","","NO",2463
"2464","RoadVES",599,"9-May-16","4118457","46.5","11.7","L.L.","N","GY","N","","","SNBA","","NO",2464
"2465","RoadVES",386,"22-Apr-16","4118460","46.6","10.4","L.L.","N","B","N","","","SNBA","","NO",2465
"2466","RoadVES",851,"21-Jun-16","4118580","46.7","-","L.L.","N","DY","N","","","SNBA","","NO",2466
"2467","RoadVES",977,"20-Jul-16","4119769","46.7","-","L.L.","N","GY","N","","","SNBA","","NO",2467
"2468","RoadVES",1098,"11-May-17","","46.7","","","N","GY","N","","","SNBA","","NO",2468
"2469","RoadVES",1784,"18-May-17","","46.7","","","N","DY","N","","","SNBA","","NO",2469
"2470","RoadVES",357,"22-Apr-16","4118460","46.8","-","L.L.","N","Y","N","","","SNBA","","NO",2470
"2471","RoadVES",2157,"19-May-17","","46.8","","","N","DY","N","","","SNBA","","NO",2471
"2472","RoadVES",428,"22-Apr-16","4118460","46.9","-","L.L.","N","GY","N","","","SNBA","","NO",2472
"2473","RoadVES",965,"20-Jul-16","4119769","46.9","-","L.L.","N","GY","N","","","SNBA","","NO",2473
"2474","RoadVES",494,"28-Apr-16","4118404","47","-","L.L.","N","DY","N","","","SNBA","","NO",2474
"2475","RoadVES",936,"11-Jul-16","-","47","","L.L.","N","GY","N","","","SNBA","","NO",2475
"2476","RoadVES",400,"22-Apr-16","4118460","47.1","-","L.L.","N","G","N","","","SNBA","","NO",2476
"2477","RoadVES",1200,"14-May-17","","47.2","","","N","GY","N","","","SNBA","","NO",2477
"2478","RoadVES",2138,"19-May-17","","47.2","","","N","DY","N","","","SNBA","","NO",2478
"2479","RoadVES",1639,"17-May-17","","47.5","","","N","GY","N","","","SNBA","","NO",2479
"2480","RoadVES",1190,"12-May-17","","47.7","","","N","GY","N","","","SNBA","","NO",2480
"2481","RoadVES",457,"23-Apr-16","4118460","47.9","-","L.L.","N","DY","N","","","SNBA","","NO",2481
"2482","RoadVES",581,"9-May-16","4118457","48","10.6","L.L.","N","DY","N","","","SNBA","","NO",2482
"2483","RoadVES",2161,"19-May-17","","48","","","N","Y","N","","","SNBA","","NO",2483
"2484","RoadVES",955,"20-Jul-16","4119769","48.1","-","L.L.","N","GY","N","","","SNBA","","NO",2484
"2485","RoadVES",2087,"19-May-17","","48.1","","","N","GY","N","","","SNBA","","NO",2485
"2486","RoadVES",2121,"19-May-17","","48.1","","","N","GY","N","","","SNBA","","NO",2486
"2487","RoadVES",2155,"19-May-17","","48.1","","","N","DY","N","","","SNBA","","NO",2487
"2488","RoadVES",1897,"18-May-17","","48.2","","","N","DGY","N","","","SNBA","","NO",2488
"2489","RoadVES",2182,"20-May-17","","48.2","","","N","GY","N","","","SNBA","","NO",2489
"2490","RoadVES",725,"10-May-16","4118457","48.3","14.3","L.L.","N","DY","N","","","SNBA","","NO",2490
"2491","RoadVES",1062,"11-May-17","","48.3","","","N","DY","N","","","SNBA","","NO",2491
"2492","RoadVES",441,"23-Apr-16","4118460","48.4","-","L.L.","N","G","N","","","SNBA","","NO",2492
"2493","RoadVES",547,"28-Apr-16","4118404","48.4","-","L.L.","N","G","N","","","SNBA","","NO",2493
"2494","RoadVES",648,"9-May-16","4118457","48.4","11.8","L.L.","N","Y","N","","","SNBA","","NO",2494
"2495","RoadVES",662,"9-May-16","4118457","48.4","13.7","L.L.","N","GY","N","","","SNBA","","NO",2495
"2496","RoadVES",956,"20-Jul-16","4119769","48.4","-","L.L.","N","GY","N","","","SNBA","","NO",2496
"2497","RoadVES",1464,"16-May-17","","48.4","","","N","DY","N","","","SNBA","","NO",2497
"2498","RoadVES",489,"27-Apr-16","4118404","48.5","-","L.L.","N","GY","N","","","SNBA","","NO",2498
"2499","RoadVES",925,"11-Jul-16","-","48.5","-","L.L.","N","Y","N","","","SNBA","","NO",2499
"2500","RoadVES",2122,"19-May-17","","48.5","","","N","GY","N","","","SNBA","","NO",2500
"2501","RoadVES",2109,"19-May-17","","48.6","","","N","GY","N","","","SNBA","","NO",2501
"2502","RoadVES",419,"22-Apr-16","4118460","48.9","-","L.L.","N","G","N","","","SNBA","","NO",2502
"2503","RoadVES",715,"10-May-16","4118457","49.1","15.3","L.L.","N","GY","N","","","SNBA","","NO",2503
"2504","RoadVES",931,"11-Jul-16","-","49.1","","L.L.","N","GY","N","","","SNBA","","NO",2504
"2505","RoadVES",2178,"19-May-17","","49.2","","","N","GY","N","","","SNBA","","NO",2505
"2506","RoadVES",385,"22-Apr-16","4118460","49.3","-","L.L.","N","B","N","","","SNBA","","NO",2506
"2507","RoadVES",619,"9-May-16","4118457","49.3","12.7","L.L.","N","DY","N","","","SNBA","","NO",2507
"2508","RoadVES",1033,"11-May-17","","49.6","","","N","GY","N","","","SNBA","","NO",2508
"2509","RoadVES",1651,"18-May-17","","49.7","","","N","GY","N","","","SNBA","","NO",2509
"2510","RoadVES",362,"22-Apr-16","4118460","49.8","-","L.L.","N","G","N","","","SNBA","","NO",2510
"2511","RoadVES",380,"22-Apr-16","4118460","49.8","-","L.L.","N","DY","N","","","SNBA","","NO",2511
"2512","RoadVES",979,"20-Jul-16","4119769","49.8","-","L.L.","N","GY","N","","","SNBA","","NO",2512
"2513","RoadVES",2103,"19-May-17","","49.8","","","N","GY","N","","","SNBA","","NO",2513
"2514","RoadVES",1104,"11-May-17","","49.9","","","N","GY","N","","","SNBA","","NO",2514
"2515","RoadVES",2172,"19-May-17","","50","","","N","DY","N","","","SNBA","","NO",2515
"2516","RoadVES",384,"22-Apr-16","4118460","50.1","-","L.L.","N","Y","N","","","SNBA","","NO",2516
"2517","RoadVES",1822,"18-May-17","","50.2","","","N","Y","N","","","SNBA","","NO",2517
"2518","RoadVES",1622,"17-May-17","","50.4","","","N","DY","N","","","SNBA","","NO",2518
"2519","RoadVES",573,"9-May-16","4118457","50.8","11","L.L.","N","GY","N","","","SNBA","","NO",2519
"2520","RoadVES",617,"9-May-16","4118457","50.9","14.2","L.L.","N","Y","N","","","SNBA","","NO",2520
"2521","RoadVES",1405,"15-May-17","","50.9","","","N","DY","N","","","SNBA","","NO",2521
"2522","RoadVES",2214,"20-May-17","","51.6","","","N","GY","N","","","SNBA","","NO",2522
"2523","RoadVES",466,"27-Apr-16","4118404","52.8","-","L.L.","N","Y","N","","","SNBA","","NO",2523
"2524","RoadVES",571,"9-May-16","4118457","52.9","22","L.L.","N","DY","N","","","SNBA","","NO",2524
"2525","RoadVES",2207,"20-May-17","","53.1","","","N","G","N","","","SNBA","","NO",2525
"2526","RoadVES",1631,"17-May-17","","53.4","","","N","DY","N","","","SNBA","","NO",2526
"2527","RoadVES",2229,"20-May-17","","54","","","N","GY","N","","","SNBA","","NO",2527
"2528","RoadVES",460,"23-Apr-16","4118460","54.1","-","L.L.","N","Y","N","","","SNBA","","NO",2528
"2529","RoadVES",1503,"17-May-17","","54.8","","","N","GY","N","","","SNBA","","NO",2529
"2530","RoadVES",348,"22-Apr-16","4118460","55","-","L.L.","N","DY","N","","","SNBA","","NO",2530
"2531","RoadVES",770,"11-May-16","4118567","56.1","-","L.L.","N","Y","N","","","SNBA","","NO",2531
"2532","RoadVES",1064,"11-May-17","","59.5","","","N","DY","N","","","SNBA","","NO",2532
"2533","RoadVES",395,"22-Apr-16","4118460","61","-","L.L.","N","Y","N","","","SNBA","","NO",2533
"2534","RoadVES",1510,"17-May-17","","f","","","N","DY","N","","","SNBA","","NO",2534
"2535","RoadVES",1374,"14-May-17","","","","","N","GY","N","","","SNBA","","NO",2535
"2536","RoadVES",1378,"15-May-17","","","","","N","G","N","","","SNBA","","NO",2536
"2537","RoadVES",1379,"15-May-17","","","","","N","G","N","","","SNBA","","NO",2537
"2538","RoadVES",1380,"15-May-17","","","","","N","GY","N","","","SNBA","","NO",2538
"2539","RoadVES",1382,"15-May-17","","","","","N","DY","N","","","SNBA","","NO",2539
"2540","RoadVES",1383,"15-May-17","","","","","N","DY","N","","","SNBA","","NO",2540
"2541","RoadVES",1384,"15-May-17","","","","","N","GY","N","","","SNBA","","NO",2541
"2542","RoadVES",1385,"15-May-17","","","","","N","DY","N","","","SNBA","","NO",2542
"2543","RoadVES",1387,"15-May-17","","","","","N","GY","N","","","SNBA","","NO",2543
"2544","RoadVES",1389,"15-May-17","","","","","N","G","N","","","SNBA","","NO",2544
"2545","RoadVES",1390,"15-May-17","","","","","N","GY","N","","","SNBA","","NO",2545
"2546","RoadVES",115,"4/12/16","4119851","22","-","leaf litter","N","G","DC","","","U","","NO",2546
"2547","RoadVES",213,"4/19/16","4121428","22.8","-","leaf litter","N","G","DC","","","U","","NO",2547
"2548","RoadVES",125,"4/12/16","4119851","23","-","leaf litter","N","G","DC","","","U","","NO",2548
"2549","RoadVES",127,"4/12/16","4119851","23","-","leaf litter","N","G","DC","","","U","","NO",2549
"2550","RoadVES",18,"4/11/16","4121195","24","-","leaf litter","N","G","DC","","","U","","NO",2550
"2551","RoadVES",63,"4/11/16","4121195","24","-","leaf litter","N","G","DC","","","U","","NO",2551
"2552","RoadVES",98,"4/12/16","4119851","24","-","leaf litter","N","G","DC","","","U","","NO",2552
"2553","RoadVES",110,"4/12/16","4119851","24","-","leaf litter","N","G","DC","","","U","","NO",2553
"2554","RoadVES",126,"4/12/16","4119851","24","-","leaf litter","N","G","DC","","","U","","NO",2554
"2555","RoadVES",66,"4/11/16","4121195","25","-","leaf litter","N","G","DC","","","U","","NO",2555
"2556","RoadVES",128,"4/12/16","4119851","25","-","leaf litter","N","G","DC","","","U","","NO",2556
"2557","RoadVES",282,"4/19/16","4121428","26.9","-","leaf litter","N","G","DC","","","U","","NO",2557
"2558","RoadVES",119,"4/12/16","4119851","27","-","leaf litter","N","G","DC","","","U","","NO",2558
"2559","RoadVES",121,"4/12/16","4119851","27","-","leaf litter","N","G","DC","","","U","","NO",2559
"2560","RoadVES",281,"4/19/16","4121428","27.1","-","leaf litter","N","G","DC","","","U","","NO",2560
"2561","RoadVES",260,"4/19/16","4121428","27.1","-","in burrow","N","G","DC","","","U","","NO",2561
"2562","RoadVES",276,"4/19/16","4121428","27.3","-","leaf litter","N","G","DC","","","U","","NO",2562
"2563","RoadVES",214,"4/19/16","4121428","27.8","-","leaf litter","N","G","DC","","","U","","NO",2563
"2564","RoadVES",267,"4/19/16","4121428","27.9","-","leaf litter","N","G","DC","","","U","","NO",2564
"2565","RoadVES",295,"4/19/16","4121428","27.9","-","leaf litter","N","G","DC","","","U","","NO",2565
"2566","RoadVES",60,"4/11/16","4121195","28","-","leaf litter","N","G","DC","","","U","","NO",2566
"2567","RoadVES",69,"4/11/16","4121195","28","-","leaf litter","N","G","DC","","","U","","NO",2567
"2568","RoadVES",99,"4/12/16","4119851","28","-","leaf litter","N","G","DC","","","U","","NO",2568
"2569","RoadVES",108,"4/12/16","4119851","28","-","leaf litter","N","G","DC","","","U","","NO",2569
"2570","RoadVES",118,"4/12/16","4119851","28","-","leaf litter","N","G","DC","","","U","","NO",2570
"2571","RoadVES",134,"4/12/16","4119851","28","-","leaf litter","N","G","DC","","","U","","NO",2571
"2572","RoadVES",232,"4/19/16","4121428","28","-","leaf litter","N","G","DC","","","U","","NO",2572
"2573","RoadVES",103,"4/12/16","4119851","28","-","leaf litter","N","G","DC","","","U","","NO",2573
"2574","RoadVES",268,"4/19/16","4121428","28.1","-","leaf litter","N","G","DC","","","U","","NO",2574
"2575","RoadVES",280,"4/19/16","4121428","28.3","-","leaf litter","N","G","DC","","","U","","NO",2575
"2576","RoadVES",279,"4/19/16","4121428","28.4","-","leaf litter","N","G","DC","","","U","","NO",2576
"2577","RoadVES",248,"4/19/16","4121428","28.5","-","leaf litter","N","G","DC","","","U","","NO",2577
"2578","RoadVES",215,"4/19/16","4121428","28.7","-","leaf litter","N","G","DC","","","U","","NO",2578
"2579","RoadVES",133,"4/12/16","4119851","29","-","leaf litter","N","G","DC","","","U","","NO",2579
"2580","RoadVES",211,"4/19/16","4121428","29","-","leaf litter","N","G","DC","","","U","","NO",2580
"2581","RoadVES",218,"4/19/16","4121428","29.2","-","leaf litter","N","G","DC","","","U","","NO",2581
"2582","RoadVES",234,"4/19/16","4121428","29.2","-","leaf litter","N","G","DC","","","U","","NO",2582
"2583","RoadVES",220,"4/19/16","4121428","29.3","-","leaf litter","N","G","DC","","","U","","NO",2583
"2584","RoadVES",324,"4/19/16","4121428","29.3","-","leaf litter","N","G","DC","","","U","","NO",2584
"2585","RoadVES",221,"4/19/16","4121428","29.6","-","leaf litter","N","G","DC","","","U","","NO",2585
"2586","RoadVES",249,"4/19/16","4121428","29.6","-","leaf litter","N","G","DC","","","U","","NO",2586
"2587","RoadVES",330,"4/19/16","4121428","29.7","-","leaf litter","N","G","DC","","","U","","NO",2587
"2588","RoadVES",65,"4/11/16","4121195","30","-","leaf litter","N","G","DC","","","U","","NO",2588
"2589","RoadVES",212,"4/19/16","4121428","30.1","-","leaf litter","N","G","DC","","","U","","NO",2589
"2590","RoadVES",230,"4/19/16","4121428","30.1","-","leaf litter","N","G","DC","","","U","","NO",2590
"2591","RoadVES",250,"4/19/16","4121428","30.2","-","leaf litter","N","G","DC","","","U","","NO",2591
"2592","RoadVES",258,"4/19/16","4121428","30.3","-","leaf litter","N","G","DC","","","U","","NO",2592
"2593","RoadVES",274,"4/19/16","4121428","30.3","-","leaf litter","N","G","DC","","","U","","NO",2593
"2594","RoadVES",210,"4/19/16","4121428","30.4","-","leaf litter","N","G","DC","","","U","","NO",2594
"2595","RoadVES",269,"4/19/16","4121428","30.4","-","leaf litter","N","G","DC","","","U","","NO",2595
"2596","RoadVES",311,"4/19/16","4121428","30.4","-","leaf litter","N","G","DC","","","U","","NO",2596
"2597","RoadVES",167,"4/18/16","4121428","30.5","-","leaf litter","N","G","DC","","","U","","NO",2597
"2598","RoadVES",255,"4/19/16","4121428","30.5","-","leaf litter","N","G","DC","","","U","","NO",2598
"2599","RoadVES",247,"4/19/16","4121428","30.7","-","leaf litter","N","G","DC","","","U","","NO",2599
"2600","RoadVES",278,"4/19/16","4121428","30.8","-","leaf litter","N","G","DC","","","U","","NO",2600
"2601","RoadVES",319,"4/19/16","4121428","30.8","-","leaf litter","N","G","DC","","","U","","NO",2601
"2602","RoadVES",44,"4/11/16","4121195","31","-","leaf litter","N","G","DC","","","U","","NO",2602
"2603","RoadVES",51,"4/11/16","4121195","31","-","leaf litter","N","G","DC","","","U","","NO",2603
"2604","RoadVES",53,"4/11/16","4121195","31","-","leaf litter","N","G","DC","","","U","","NO",2604
"2605","RoadVES",102,"4/12/16","4119851","31","-","leaf litter","N","G","DC","","","U","","NO",2605
"2606","RoadVES",132,"4/12/16","4119851","31","-","leaf litter","N","G","DC","","","U","","NO",2606
"2607","RoadVES",323,"4/19/16","4121428","31","-","leaf litter","N","G","DC","","","U","","NO",2607
"2608","RoadVES",239,"4/19/16","4121428","31.3","-","leaf litter","N","G","DC","","","U","","NO",2608
"2609","RoadVES",310,"4/19/16","4121428","31.4","-","leaf litter","N","G","DC","","","U","","NO",2609
"2610","RoadVES",207,"4/19/16","4121428","31.9","-","leaf litter","N","G","DC","","","U","","NO",2610
"2611","RoadVES",25,"4/11/16","4121195","32","-","leaf litter","N","G","DC","","","U","","NO",2611
"2612","RoadVES",54,"4/11/16","4121195","32","-","leaf litter","N","G","DC","","","U","","NO",2612
"2613","RoadVES",67,"4/11/16","4121195","32","-","leaf litter","N","G","DC","","","U","","NO",2613
"2614","RoadVES",104,"4/12/16","4119851","32","-","leaf litter","N","G","DC","","","U","","NO",2614
"2615","RoadVES",275,"4/19/16","4121428","32","-","leaf litter","N","G","DC","","","U","","NO",2615
"2616","RoadVES",176,"4/18/16","4121428","32.1","-","leaf litter","N","G","DC","","","U","","NO",2616
"2617","RoadVES",321,"4/19/16","4121428","32.1","-","leaf litter","N","G","DC","","","U","","NO",2617
"2618","RoadVES",155,"4/18/16","4121428","32.2","-","leaf litter","N","G","DC","","","U","","NO",2618
"2619","RoadVES",200,"4/19/16","4121428","32.7","-","leaf litter","N","G","DC","","","U","","NO",2619
"2620","RoadVES",317,"4/19/16","4121428","32.7","-","leaf litter","N","G","DC","","","U","","NO",2620
"2621","RoadVES",192,"4/18/16","4121428","32.8","-","leaf litter","N","Y","DC","","","U","","NO",2621
"2622","RoadVES",332,"4/19/16","4121428","32.8","-","leaf litter","N","G","DC","","","U","","NO",2622
"2623","RoadVES",26,"4/11/16","4121195","33","-","leaf litter","N","G","DC","","","U","","NO",2623
"2624","RoadVES",42,"4/11/16","4121195","33","-","leaf litter","N","G","DC","","","U","","NO",2624
"2625","RoadVES",58,"4/11/16","4121195","33","-","leaf litter","N","G","DC","","","U","","NO",2625
"2626","RoadVES",106,"4/12/16","4119851","33","-","leaf litter","N","G","DC","","","U","","NO",2626
"2627","RoadVES",107,"4/12/16","4119851","33","-","leaf litter","N","G","DC","","","U","","NO",2627
"2628","RoadVES",241,"4/19/16","4121428","33","-","leaf litter","N","G","DC","","","U","","NO",2628
"2629","RoadVES",174,"4/18/16","4121428","33.1","-","leaf litter","N","G","DC","","","U","","NO",2629
"2630","RoadVES",154,"4/18/16","4121428","33.2","-","leaf litter","N","G","DC","","","U","","NO",2630
"2631","RoadVES",150,"4/18/16","4121428","33.3","-","leaf litter","N","G","DC","","","U","","NO",2631
"2632","RoadVES",205,"4/19/16","4121428","33.4","-","leaf litter","N","G","DC","","","U","","NO",2632
"2633","RoadVES",306,"4/19/16","4121428","33.7","-","leaf litter","N","G","DC","","","U","","NO",2633
"2634","RoadVES",165,"4/18/16","4121428","33.8","-","leaf litter","N","G","DC","","","U","","NO",2634
"2635","RoadVES",331,"4/19/16","4121428","33.9","-","leaf litter","N","G","DC","","","U","","NO",2635
"2636","RoadVES",8,"4/11/16","4121195","34","-","leaf litter","N","G","DC","","","U","","NO",2636
"2637","RoadVES",17,"4/11/16","4121195","34","-","leaf litter","N","G","DC","","","U","","NO",2637
"2638","RoadVES",61,"4/11/16","4121195","34","-","leaf litter","N","G","DC","","","U","","NO",2638
"2639","RoadVES",64,"4/11/16","4121195","34","-","leaf litter","N","G","DC","","","U","","NO",2639
"2640","RoadVES",71,"4/11/16","4121195","34","-","leaf litter","N","G","DC","","","U","","NO",2640
"2641","RoadVES",74,"4/11/16","4121195","34","-","leaf litter","N","G","DC","","","U","","NO",2641
"2642","RoadVES",100,"4/12/16","4119851","34","-","leaf litter","N","G","DC","","","U","","NO",2642
"2643","RoadVES",113,"4/12/16","4119851","34","-","leaf litter","N","G","DC","","","U","","NO",2643
"2644","RoadVES",116,"4/12/16","4119851","34","-","leaf litter","N","G","DC","","","U","","NO",2644
"2645","RoadVES",315,"4/19/16","4121428","34","-","leaf litter","N","G","DC","","","U","","NO",2645
"2646","RoadVES",6,"4/11/16","4121195","34","-","leaf litter, half in burrow","N","G","DC","","","U","","NO",2646
"2647","RoadVES",185,"4/18/16","4121428","34.1","-","leaf litter","N","G","DC","","","U","","NO",2647
"2648","RoadVES",263,"4/19/16","4121428","34.1","-","leaf litter","N","G","DC","","","U","","NO",2648
"2649","RoadVES",198,"4/18/16","4121428","34.5","-","leaf litter","N","G","DC","","","U","","NO",2649
"2650","RoadVES",197,"4/18/16","4121428","34.6","-","leaf litter","N","G","DC","","","U","","NO",2650
"2651","RoadVES",159,"4/18/16","4121428","34.7","-","leaf litter, next to burrow","N","G","DC","","","U","","NO",2651
"2652","RoadVES",162,"4/18/16","4121428","34.9","-","leaf litter, next to burrow","N","G","DC","","","U","","NO",2652
"2653","RoadVES",16,"4/11/16","4121195","35","-","leaf litter","N","G","DC","","","U","","NO",2653
"2654","RoadVES",31,"4/11/16","4121195","35","-","leaf litter","N","G","DC","","","U","","NO",2654
"2655","RoadVES",137,"4/18/16","4121428","35","-","leaf litter","N","G","DC","","","U","","NO",2655
"2656","RoadVES",2,"4/11/16","4121195","35","-","dirt, in burrow","N","G","DC","","","U","","NO",2656
"2657","RoadVES",153,"4/18/16","4121428","35.2","-","leaf litter","N","G","DC","","","U","","NO",2657
"2658","RoadVES",236,"4/19/16","4121428","35.4","-","leaf litter","N","G","DC","","","U","","NO",2658
"2659","RoadVES",226,"4/19/16","4121428","35.6","-","leaf litter","N","G","DC","","","U","","NO",2659
"2660","RoadVES",314,"4/19/16","4121428","35.6","-","leaf litter","N","G","DC","","","U","","NO",2660
"2661","RoadVES",140,"4/18/16","4121428","35.8","-","leaf litter","N","G","DC","","","U","","NO",2661
"2662","RoadVES",313,"4/19/16","4121428","35.9","-","leaf litter","N","G","DC","","","U","","NO",2662
"2663","RoadVES",3,"4/11/16","4121195","36","-","in burrow","N","G","DC","","","U","","NO",2663
"2664","RoadVES",7,"4/11/16","4121195","36","-","leaf litter","N","G","DC","","","U","","NO",2664
"2665","RoadVES",11,"4/11/16","4121195","36","-","leaf litter","N","G","DC","","","U","","NO",2665
"2666","RoadVES",23,"4/11/16","4121195","36","-","leaf litter","N","G","DC","","","U","","NO",2666
"2667","RoadVES",47,"4/11/16","4121195","36","-","leaf litter","N","G","DC","","","U","","NO",2667
"2668","RoadVES",56,"4/11/16","4121195","36","-","leaf litter","N","G","DC","","","U","","NO",2668
"2669","RoadVES",111,"4/12/16","4119851","36","-","leaf litter","N","G","DC","","","U","","NO",2669
"2670","RoadVES",120,"4/12/16","4119851","36","-","leaf litter","N","G","DC","","","U","","NO",2670
"2671","RoadVES",265,"4/19/16","4121428","36","-","leaf litter","N","G","DC","","","U","","NO",2671
"2672","RoadVES",37,"4/11/16","4121195","36","-","leaf litter, next to burrow","N","G","DC","","","U","","NO",2672
"2673","RoadVES",312,"4/19/16","4121428","36.1","-","leaf litter","N","G","DC","","","U","","NO",2673
