"","Method","Index","Date","Loc","SVL","Mass","Microhabitat","Pads","Color","Eggs","Recap","PIT_ID","Stage","Underground","tran2017","newindex"
"156","ROAD CRUISE",95,"6-May-15","Yorktown Tour Road",NA,NA,"Leaf litter","","","","","","U","","NO",156
"157","ROAD CRUISE",96,"6-May-15","Yorktown Tour Road",NA,NA,"Leaf litter","","","","","","U","","NO",157
"158","ROAD CRUISE",97,"6-May-15","Yorktown Tour Road",NA,NA,"Leaf litter","","","","","","U","","NO",158
"159","ROAD CRUISE",99,"24-May-15","Yorktown Tour Road",NA,NA,"Leaf litter","","","","","","U","","NO",159
"160","ROAD CRUISE",100,"24-May-15","Yorktown Tour Road",NA,NA,"","","","","","","U","","NO",160
"161","ROAD CRUISE",102,"24-May-15","Yorktown Tour Road",NA,NA,"Leaf litter","","","","","","U","","NO",161
"162","ROAD CRUISE",105,"24-May-15","Yorktown Tour Road",NA,NA,"Grass","","","","","","U","","NO",162
"163","ROAD CRUISE",120,"27-May-15","Jamestown Tour Roads",NA,NA,"Grass","","","","","","U","","NO",163
"164","ROAD CRUISE",121,"27-May-15","Jamestown Tour Roads",NA,NA,"Grass","","","","","","U","","NO",164
"165","ROAD CRUISE",122,"27-May-15","Jamestown Tour Roads",NA,NA,"Leaf litter","","","","","","U","","NO",165
"166","ROAD CRUISE",125,"27-May-15","Jamestown Tour Roads",NA,NA,"Road","","","","","","U","","NO",166
"167","ROAD CRUISE",131,"27-May-15","Jamestown Tour Roads",NA,NA,"Road","","","","","","U","","NO",167
"168","ROAD CRUISE",132,"27-May-15","Jamestown Tour Roads",NA,NA,"Grass","","","","","","U","","NO",168
"169","ROAD CRUISE",133,"27-May-15","Jamestown Tour Roads",NA,NA,"Road","","","","","","U","","NO",169
"170","ROAD CRUISE",134,"27-May-15","Jamestown Tour Roads",NA,NA,"Road","","","","","","U","","NO",170
"171","ROAD CRUISE",136,"27-May-15","Jamestown Tour Roads",NA,NA,"Leaf litter","","","","","","U","","NO",171
"172","ROAD CRUISE",183,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Leaf litter","","","","","","U","","NO",172
"173","ROAD CRUISE",184,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Leaf litter","","","","","","U","","NO",173
"174","ROAD CRUISE",185,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Leaf litter","","","","","","U","","NO",174
"175","ROAD CRUISE",187,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Road","","","","","","U","","NO",175
"176","ROAD CRUISE",197,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Leaf litter","","","","","","U","","NO",176
"177","ROAD CRUISE",205,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Leaf litter","","","","","","U","","NO",177
"178","ROAD CRUISE",206,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Leaf litter","","","","","","U","","NO",178
"179","ROAD CRUISE",208,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Leaf litter","","","","","","U","","NO",179
"180","ROAD CRUISE",216,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Grass","","","","","","U","","NO",180
"181","ROAD CRUISE",217,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Road","","","","","","U","","NO",181
"182","ROAD CRUISE",218,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Road","","","","","","U","","NO",182
