"Survey_type","Index","Date","Temp_C","X","Y","Plot_ID","Recap","SVL_mm","Mass_g","Pads","Eggs","Animal_ID","Body_condition","Matured_during_study","Stage"
"Transect",1300,20170616,NA,"367323","4118921","T18","R","46","10.6","N","Y","ID-900118001080576","okay","Y","F"
"Transect",188,20170618,NA,"363136","4121420","T0","R","51","20","N","Y","ID-900118001082631","Okay","Y","F"
"Transect",1211,20170611,NA,"367338","4118919","T18","R","44.8","5","N","Y","ID-982000406255134","OK","Y","F"
"Transect",781,20170617,NA,"365060","4118703","T14","R","40.8","16.1","N","Y","ID-982000406562613","OK","Y","F"
"Transect",642,20170612,NA,"365122","4117910","T9","R","50.2","14.1","N","Y","ID-982000406562638","OK","Y","F"
"Transect",547,20160712,25.3,"365016","4117862","T9","R","47.8","11.1","N","Y","ID-982000406562697","OK","Y","F"
"Transect",1253,20170616,NA,"367266","4118883","T18","R","40","7.8","N","Y","ID-982000406562794","okay","Y","F"
"Transect",543,20160712,25.3,"365005","4117895","T9","R","51.3","Peed","N","Y","ID-982000406562836","OK","Y","F"
"Transect",774,20170612,NA,"365071","4119713","T14","R","50.8","Peed","N","Y","ID-982000406562841","OK","Y","F"
"Transect",1284,20170616,NA,"367299","4118897","T18","R","46","Pee","N","Y","ID-982000406562856","okay","Y","F"
"Transect",981,20160510,17.5,"367270","4118904","T18","N","45","10.2","N","Y","ID-982000406562905","OK","Y","F"
"Transect",1194,20170611,NA,"367265","4118902","T18","R","48.8","Peed","N","Y","ID-982000406562905","OK","Y","F"
"Transect",343,20170613,NA,"363841","4121183","T3","R","41.6","8.9","N","Y","ID-982000406563090","OK","Y","F"
"Transect",366,20170618,NA,"363853","4121192","T3","R","43.6","15","N","Y","ID-982000406563090","Okay","Y","F"
"Transect",1292,20170616,NA,"367302","4118928","T18","R","40","7.6","N","Y","ID-982000406563219","okay","Y","F"
"Transect",1265,20170616,NA,"367259","4118906","T18","R","46","Pee","N","Y","ID-982000406563292","okay","Y","F"
"Transect",295,20160724,33,"363817","4121219","T3","R","45.4","9.5","N","Y","ID-982000406563318","OK","Y","F"
"Transect",332,20170613,NA,"363817","4121206","T3","R","45.9","Peed","N","Y","ID-982000406563318","OK","Y","F"
"Transect",1257,20170616,NA,"367273","4118900","T18","R","46.5","12.1","N","Y","ID-982000407040798","okay","Y","F"
"Transect",696,20170702,NA,"365088","4117816","T9","R","44.8","9.75","N","Y","ID-982000407040812","okay","Y","F"
"Transect",106,20160710,24.6,"363130","4121418","T0","N","48.7","11","FAINT","N","ID-900118001080737","OK","Y","M"
"Transect",1162,20160725,29.9,"367315","4118928","T18","R","44","8.9","Y","N","ID-900118001080088","OK","Y","M"
"Transect",1205,20170611,NA,"367316","4118924","T18","R","47.4","16","Y","N","ID-900118001081143","OK","Y","M"
"Transect",670,20170617,NA,"365079","4117896","T9","R","42.8","11.3","Y","N","ID-982000406255151","okay","Y","M"
"Transect",697,20170702,NA,"365112","4117908","T9","R","51.8","15.5","Y","N","ID-982000406255158","enlarged pupil in left eye","Y","M"
"Transect",1290,20170616,NA,"367302","4118910","T18","R","44","8.5","Y","N","ID-982000406255196","okay","Y","M"
"Transect",1154,20160711,25.8,"367332","4118924","T18","R","43.1","9.9","Y","N","ID-982000406255199","OK","Y","M"
"Transect",286,20160724,33,"363821","4121234","T3","R","47.4","12.1","Y","N","ID-982000406562745","OK","Y","M"
"Transect",318,20170515,NA,"363832","4121211","T3","R","45","17","Y","N","ID-982000406562745","OK","Y","M"
"Transect",331,20170613,NA,"363820","4121226","T3","R","51","15.1","Y","N","ID-982000406562745","OK","Y","M"
"Transect",314,20160821,25.4,"363814","4121209","T3","R","52","14","Y","N","ID-982000406562808","OK","Y","M"
"Transect",1236,20170616,NA,"367245","4118900","T18","R","42.7","9.2","Y","N","ID-982000406562818","okay","Y","M"
"Transect",1246,20170616,NA,"367229","4118893","T18","R","42","9.4","Y","N","ID-982000406562818","okay","Y","M"
"Transect",757,20160713,26.8,"365053","4119742","T14","R","52.2","15.5","Y","N","ID-982000406562903","OK","Y","M"
"Transect",929,20170613,NA,"365894","4119847","T15","R","50.4","16.1","Y","N","ID-982000406563088","Okay","Y","M"
"Transect",143,20160723,25.7,"363127","4121405","T0","R","46","9.8","Y","N","ID-982000406563133","OK","Y","M"
"Transect",559,20160712,25.3,"365065","4117894","T9","R","44.9","10","Y","N","ID-982000406563160","OK","Y","M"
"Transect",663,20170617,NA,"365057","4117886","T9","R","52.9","13.8","Y","N","ID-982000406563160","okay","Y","M"
"Transect",691,20170702,NA,"365052","4117899","T9","R","50.1","13","Y","N","ID-982000406563189","Okay","Y","M"
"Transect",320,20170515,NA,"363826","4121220","T3","R","46.5","19.5","Y","N","ID-982000406563192","OK","Y","M"
"Transect",530,20160627,24.5,"365086","4117909","T9","R","45.7","Peed","Y","N","ID-982000406563232","OK","Y","M"
"Transect",354,20170618,NA,"363822","4121208","T3","R","52.4","Pee","Y","N","ID-982000406563279","Okay","Y","M"
"Transect",688,20170617,NA,"365108","4117900","T9","R","45.5","8.8","Y","N","ID-982000406563281","okay","Y","M"
"Transect",617,20170612,NA,"365100","4117912","T9","R","40.2","9.3","Y","N","ID-982000406563298","OK","Y","M"
