Master_No,No,Map_Datum ,Zone ,Units_coordinates,Method,Date,Observers,Location,Unit,Sheet_ID,No._on_sheet,Time,Species,,Adult/Egg/Larvae,Y,X,SVL(mm),Use_for_size,STAGE,Sex,Mass(g),Disposition,Microhabitat,Habitat_Type,Comments,Color,Pads,Eggs,No_of_Individuals,Age,Recap,Carapace_L,Plastron_L,Notch_Rear_Right,Notch_Rear_Left,Notch_Front_Right,Notch_Front_Left,Notch_Code
,49,NAD83  ,18N,UTM,TERRESTRIAL VES,5/10/16,"ADS, MRL",East tour road,YT,TV-16-May-2016-01,7,2245,SCHO,,,4119162,367446,,,U,U,,A,leaf litter,forest,-,,,,1,,,,,,,,,
,142,NAD83,18N,UTM,INCIDENTAL,6-May-15,,,YT,IN-4-May-15-01,,1350,SCHO,,,4120395,364357,,,U,,,A at moment,inside snake,forest,"regurgitated from COCO, bleeding from mouth",,,,1,,,,,,,,,
,165,NAD83,18N,UTM,INCIDENTAL,9-May-15,,,YT,IN-09-May-15-01,,2228,SCHO,,,4118511,364433,,,U,,,A,forest,forest,35 individuals seen near temp pond 2,,,,1,,,,,,,,,
,169,NAD83,18N,UTM,INCIDENTAL,18-May-15,,,YT,IN-19-May-15-01,,1137,SCHO,,,4119035,366877,,,U,,,A,grass,,,,,,1,,,,,,,,,
,196,NAD83,18N,UTM,INCIDENTAL,22-May-15,,,GS,IN-20-May-15-01,,2107,SCHO,,,4125323,339946,,,U,,,A,log,forest,GS,,,,1,,,,,,,,,
,197,NAD83,18N,UTM,INCIDENTAL,22-May-15,,,GS,IN-20-May-15-01,,2129,SCHO,,,4124854,340344,,,U,,,A,leaf litter,forest,GS,,,,1,,,,,,,,,
,201,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,PKWY,IN-27-May-15-01,,2050,SCHO,,,4120040,345616,,,U,,,A,road,forest,parkway during rain,,,,1,,,,,,,,,
,203,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,PKWY,IN-27-May-15-01,,2050,SCHO,,,4120040,345616,,,U,,,A,grass,forest,"parkway during rain, x3, ""SCHO2050""= GPS point ID",,,,1,,,,,,,,,
,204,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,JI,IN-27-May-15-01,,2103,SCHO,,,4119867,342103,,,U,,,A,gravel driveway,forest,JI during rain,,,,1,,,,,,,,,
,214,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,PKWY,IN-27-May-15-01,,2355,SCHO,,,4120829,341641,,,U,,,A,gravel path,forest,glasshouse JI,,,,1,,,,,,,,,
,215,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,PKWY,IN-27-May-15-01,,2355,SCHO,,,4120829,341669,,,U,,,A,gravel path,forest,"Glasshouse JI, x2",,,,2,,,,,,,,,
,216,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,PKWY,IN-27-May-15-01,,2357,SCHO,,,4120867,341696,,,U,,,A,leaf litter,forest,JI glasshouse,,,,1,,,,,,,,,
,218,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,PKWY,IN-27-May-15-01,,2359,SCHO,,,4120903,341704,,,U,,,A,grass,forest,JI glasshouse,,,,1,,,,,,,,,
,227,NAD83,18N,UTM,INCIDENTAL,28-May-15,,,PKWY,IN-27-May-15-01,,28,SCHO,,,4120225,345022,,,U,,,A,road,forest,,,,,1,,,,,,,,,
,228,NAD83,18N,UTM,INCIDENTAL,28-May-15,,,PKWY,IN-27-May-15-01,,33,SCHO,,,4119954,346254,,,U,,,A,road,forest,,,,,1,,,,,,,,,
,229,NAD83,18N,UTM,INCIDENTAL,28-May-15,,,PKWY,IN-27-May-15-01,,33,SCHO,,,4119954,346254,,,U,,,A,grass,forest,,,,,1,,,,,,,,,
,270,NAD83,18N,UTM,INCIDENTAL,3-Jun-15,,,PKWY,IN-02-Jun-15-01,,0:07,SCHO,2,,4119938,346228,,,U,,,A,field,field,calling index 2; 1 M+F,,,,1,,,,,,,,,
,298,NAD83,18N,UTM,INCIDENTAL,4-Jun-15,,,YT,IN-03-Jun-15-01,,2127,SCHO,2,,4118976,366475,,,U,,,A,water,wetland in field,calling index 2,,,,,,,,,,,,,
,302,NAD83,18N,UTM,INCIDENTAL,4-Jun-15,,,YT,IN-03-Jun-15-01,,2135,SCHO,,,4118419,365958,,,U,,,A,road,forest,,,,,1,,,,,,,,,
,311,NAD83,18N,UTM,INCIDENTAL,5-Jun-15,,,YT,IN-03-Jun-15-01,,5,SCHO,2,,4119341,364668,,,U,,,,water,temporary pond,chorus calling index 2,,,,,,,,,,,,,
,313,NAD83,18N,UTM,INCIDENTAL,5-Jun-15,,,YT,IN-03-Jun-15-01,,11,SCHO,1,,4119774,364512,,,U,,,,water,field ditch,chorus index 1,,,,,,,,,,,,,
,316,NAD83,18N,UTM,INCIDENTAL,5-Jun-15,,,YT,IN-03-Jun-15-01,,14,SCHO,1,,4120011,365157,,,U,,,,water,field,chorus index 1,,,,,,,,,,,,,
,364,NAD83,18N,UTM,INCIDENTAL,27-Jun-15,,,PKWY,IN-19-Jun-15-01,,2133,SCHO,1,,4119938,346228,,,U,,,A,water,temp pond,"chorus 1, pkwy",,,,,,,,,,,,,
,33,NAD83  ,18N,UTM,INCIDENTAL,13-Mar-16,,,GS,IN-02-Mar-2016-01,,2030,SCHO,,,4125288,339939,,,U,,,A,leaf litter,forest,,,,,1,,,,,,,,,
,64,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2027,SCHO,,,4121627,363094,,,U,,,A,mowed grass,field,x22 individuals,,,,22,,,,,,,,,
,65,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2028,SCHO,,,4121595,363049,,,U,,,A,mowed grass,field forest,x3,,,,3,,,,,,,,,
,67,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2150,SCHO,,,4121494,363184,,,U,,,A,,forest,,,,,1,,,,,,,,,
,68,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2152,SCHO,,,4121531,363167,,,U,,,A,"burrow, leaf litter",forest,,,,,1,,,,,,,,,
,69,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2153,SCHO,,,4121536,363160,,,U,,,A,"burrow, leaf litter",forest,"large, yellow, no keratinized pads",,N,,1,,,,,,,,,
,71,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2156,SCHO,,,4121591,363120,,,U,,,A,leaf litter,forest,no pads,,N,,1,,,,,,,,,
,72,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2157,SCHO,,,4121596,363112,,,U,,,A,leaf litter,forest,x4 individuals,,,,4,,,,,,,,,
,73,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2159,SCHO,,,4121598,363101,,,U,,,A,leaf litter,forest,"x2 individuals, no pads both",,N,,2,,,,,,,,,
,74,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2200,SCHO,,,4121620,363112,,,U,,,A,road side,forest field edge,x2,,,,2,,,,,,,,,
,75,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2200,SCHO,,,4121614,363124,,,U,,,A,road side,forest field edge,x8,,,,8,,,,,,,,,
,76,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2200,SCHO,,,4121612,363114,,,U,,,A,road side,forest field edge,,,,,1,,,,,,,,,
,77,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2200,SCHO,,,4121604,363096,,,U,,,A,road side,forest field edge,x3,,,,3,,,,,,,,,
,78,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2210,SCHO,,,4120945,363687,,,U,,,A,road side,forest field edge,x3,,,,3,,,,,,,,,
,79,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2210,SCHO,,,4120944,363706,,,U,,,A,road side,forest field edge,x8,,,,8,,,,,,,,,
,81,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2215,SCHO,,,4120760,363727,,,U,,,A,field edge short grass,field,x2 no pads,,N,,2,,,,,,,,,
,93,NAD83  ,18N,UTM,INCIDENTAL,7-Apr-16,,,YT,IN-01-Apr-2016-01,,2032,SCHO,,,4120123,363955,,,U,,,A,leaf litter,forest,juvenile,,,,1,,,,,,,,,
,94,NAD83  ,18N,UTM,INCIDENTAL,7-Apr-16,,,YT,IN-01-Apr-2016-01,,2032,SCHO,,,4120124,363940,,,U,,,A,leaf litter,forest,juvenile,,,,1,,,,,,,,,
,95,NAD83  ,18N,UTM,INCIDENTAL,7-Apr-16,,,YT,IN-01-Apr-2016-01,,2036,SCHO,,,4120506,363831,,,U,,,A,leaf litter,forest,adult,,,,1,,,,,,,,,
,96,NAD83  ,18N,UTM,INCIDENTAL,7-Apr-16,,,YT,IN-01-Apr-2016-01,,2103,SCHO,,,4120060,364003,,,U,,,A,leaf litter,forest,adult,,,,1,,,,,,,,,
,98,NAD83  ,18N,UTM,INCIDENTAL,7-Apr-16,,,YT,IN-01-Apr-2016-01,,2120,SCHO,,,4118626,364299,,,U,,,A,half in burrow,forest,juvenile,,,,1,,,,,,,,,
,99,NAD83  ,18N,UTM,INCIDENTAL,7-Apr-16,,,YT,IN-01-Apr-2016-01,,2122,SCHO,,,4118449,364497,,,U,,,A,leaf litter,forest,adult,,,,1,,,,,,,,,
,100,NAD83  ,18N,UTM,INCIDENTAL,7-Apr-16,,,YT,IN-01-Apr-2016-01,,2130,SCHO,,,4118431,365990,,,U,,,A,leaf litter,forest,adult,,,,1,,,,,,,,,
,104,NAD83  ,18N,UTM,INCIDENTAL,20-Apr-16,,,YT,IN-01-Apr-2016-01,,2055,SCHO,,,4121618,363097,,,U,,,A,"Leaf litter, dirt mound",forest,"Gray, pt 358, 3D6-001836F618 (20 APR; 20:31:56) - PIT -255128",,,,1,,,,,,,,,
