Index ,Date,Date_num,Start_time,End_time,Observers,Scribe,X-coord,Y-coord,Ground_Temp (C),Ambient_Temp (C),RH (%),Wind,Rain,Plot_ID,Survey_Type,Survey_Number,Sheet_ID,Missed Toads,Fooled by Spider Eyeshine,No.,Recap,SVL(mm),GPS_Waypoint,Mass,Mass/SVL ratio,Burrow(Y/N),Burrow_depth,Microhabitat,Pads,Color,Eggs,STAGE,Unique_ID,FINAL_Pittag_toeclip,Plot_ID,PIT-tag_Toeclip,,Body Condition,Ycoord,Xcoord,Comments,Head_Width,Incidental(remove_from_survey),Matured during survey
1280,16-Jun-17,20170616,2100,156,"HM, JL",LC,,,,23.1,98.7,,,T18,Transect,3,TR-16-Jun-2017-01,5,,49,N,36,1405,Pee,,Y,61,,N,GY,N,SNBA,ID-982000407070820,9.82E+14,T18,,,okay,4118945,367304,,16,,N
784,3-Jul-17,20170703,2134,2207,"EW, ADS",,,,,28.8,84.3,,,T14,Transect,4,TR-03-JUL-2017-01,,,1,R,56.5,529,Pee,,Y,62,,N,DY,Y,F,ID-900118001079328,9.00E+14,T14,,,Okay,4119695,365067,,21.5,,N
43,20-Jun-16,20160620,22:02,23:25,"ADS, KN",JF,,,23.1,22.8,72.1,,No,T0,Transect,3,TRAN-20-JUN-2016-01,2,,2,N,41,,4.8,0.117073171,Y,63,L.L.,N,GY,N,SNBA,ID-982000406563173,9.82E+14,T0,9.82E+14,,OK,4121416,363173,,,,N
609,12-Jun-17,20170612,2055,46,"HM, JL",LC,,,,22.9,28.5,,No,T9,Transect,2,TR-12-JUN-2017-01,,,15,R,48.2,1274,16.6,0.34439834,Y,64.1,,N,DY,Y,F,ID-982000406255161,9.82E+14,T9,,,OK,4117952,365036,,19.9,,N
1297,16-Jun-17,20170616,2100,156,"HM, JL",LC,,,,23.1,98.7,,,T18,Transect,3,TR-16-Jun-2017-01,5,,66,R,38,1422,5,0.131578947,Y,67,,N,G,N,SNBA,ID-982000407040809,9.82E+14,T18,,,okay,4118889,367312,,17,,N
1070,18-Jun-16,20160618,21:27,23:51,"ADS, KN",JF,,,21.6,19.5,70.5,0,No,T18,Transect,3,TRAN-18-JUN-2016-01,18,,7,N,57.5,#556/8,,,Y,69,L.L.,N,Y,Y,F,ID-900118001079929,9.00E+14,T18,,,OK,4118890,367264,,,,N
552,12-Jul-16,20160712,22:33,0:21,"ADS, JF",HM,,,25.3,25.2,88.8,0,No,T9,Transect,5,TRAN-12-JUL-2016-01,1,,10,N,45.1,,9.9,0.219512195,Y,70,L.L.,N,GY,N,SNBA,ID-982000406563055,9.82E+14,T9,,,OK,4117898,365053,,,,N
556,12-Jul-16,20160712,22:33,0:21,"ADS, JF",HM,,,25.3,25.2,88.8,0,No,T9,Transect,5,TRAN-12-JUL-2016-01,1,,14,R,52,,12.7,0.244230769,Y,72,L.L.,Y,Y,N,M,ID-982000406562813,9.82E+14,T9,,,OK,4117887,365068,,,,Y
356,18-Jun-17,20170618,2110,2251,"HM, LC",JL,,,,28.9,100  check NOAA,,no,T3,Transect,3,TR-18-JUN-2017-01,,,6,N,50.9,1462,pee,,Y,72.9,,Y,Y,N,M,ID-900118001078213,9.00E+14,T3,,,Okay,4121194,363819,,21,,N
595,12-Jun-17,20170612,2055,46,"HM, JL",LC,,,,22.9,28.5,,No,T9,Transect,2,TR-12-JUN-2017-01,2,,1,R,50.5,1260,17.3,0.342574257,Y,74.8,,N,DY,Y,F,ID-982000406562677,9.82E+14,T9,,,OK,4117865,365030,Missed recap 982000406255115,19.4,,Y
597,12-Jun-17,20170612,2055,46,"HM, JL",LC,,,,22.9,28.5,,No,T9,Transect,2,TR-12-JUN-2017-01,,,3,N,49.4,1262,19.1,0.386639676,Y,74.8,,Y,Y,N,M,ID-900118001081353,9.00E+14,T9,,,OK,4117908,365027,,19.8,,N
603,12-Jun-17,20170612,2055,46,"HM, JL",LC,,,,22.9,28.5,,No,T9,Transect,2,TR-12-JUN-2017-01,,,9,N,45.3,1268,10.1,0.222958057,Y,77.6,,N,GY,N,SNBA,ID-982000407040873,9.82E+14,T9,,,OK,4117871,365047,,17.8,,N
775,12-Jun-17,20170612,133,248,"HM, LC",JL,,,,31.2,26.2,,No,T14,Transect,2,TR-12-JUN-2017-03,,,4,N,58.4,1312,21.8,0.373287671,Y,83.3,,Y,Y,N,M,ID-900118001077636,9.00E+14,T14,,,OK,4119745,365039,,24,,N
973,10-May-16,20160510,22:05,0:42,"ADS, MRL, BN, NK",?,,,17.5,16.2,91.2,,,T18,Transect,1,TRAN-10-MAY-2016-01,,,6,N,54.2,#278/5,21.5,0.396678967,Y,85.1,L.L.,N,Y,Y,F,ID-982000406562864,9.82E+14,T18,9.82E+14,,OK,4118916,367241,,,,N
596,12-Jun-17,20170612,2055,46,"HM, JL",LC,,,,22.9,28.5,,No,T9,Transect,2,TR-12-JUN-2017-01,,,2,N,40.4,1261,12.7,0.314356436,Y,90.1,,N,GY,Y,F,ID-982000407040773,9.82E+14,T9,,,OK,4117895,365030,,17.7,,N
1237,16-Jun-17,20170616,2100,156,"HM, JL",LC,,,,23.1,98.7,,,T18,Transect,3,TR-16-Jun-2017-01,5,,6,N,49.5,1362,19.1,0.385858586,Y,93,,N,DY,Y,F,ID-900118001078799,9.00E+14,T18,,,okay,4118884,367255,,21.4,,N
848,22-Jun-16,20160622,21:45,23:15,"ADS, JF",KN,,,24,24.5,80.7,,No,T15,Transect,4,TRAN-22-JUN-2016-01,2,,13,N,37.3,,Peed,,Y,96,L.L.,N,GY,N,SNBA,ID-982000406563278,9.82E+14,T15,,,OK,4119832,365880,,,,N
1247,16-Jun-17,20170616,2100,156,"HM, JL",LC,,,,23.1,98.7,,,T18,Transect,3,TR-16-Jun-2017-01,5,,16,R,38.7,1372,6.6,0.170542636,Y,98,,N,GY,N,SNBA,ID-982000406562810,9.82E+14,T18,,,okay,4118902,367254,,16.1,,N
1141,11-Jul-16,20160711,21:38,22:56,,,,,25.8,27,88,0,,T18,Transect,5,TRAN-11-JUL-2016-01,2,,7,N,41.8,,,,Y,98,L.L.,Y,Y,N,M,ID-982000406563272,9.82E+14,T18,,,OK,4118901,367293,,,,N
298,24-Jul-16,20160724,21:11,22:46,"ADS, HM",JF,,,33,32.4,90.3,0,No,T3,Transect,6,TRAN-24-JUL-2016-01,2,3,16,R,55,,21,0.381818182,Y,100,L.L.,Y,Y,N,M,ID-900118001080598,9.00E+14,T3,,,OK,4121210,363846,,,,Y
1160,25-Jul-16,20160725,22:33,23:07,"ADS, HM",JF,,,29.9,30.3,78.7,0.9,No,T18,Transect,6,TRAN-25-JUL-2016-02,0,,3,N,51.4,,18.4,0.357976654,Y,100,L.L.,Y,Y,N,M,ID-900118001081818,9.00E+14,T18,,,OK,4118952,367319,,,,N
654,17-Jun-17,20170617,932,1150,"HM, LC",JL,,,,25.1,28.2,,Earlier,T9,Transect,3,TR-17-JUN-2017,3,,1,N,53,1430,12.4,0.233962264,Y,106,,N,DY,Y,F,ID-900118001077667,9.00E+14,T9,,,Okay,4117896,365006,,20.6,,N
1224,1-Jul-17,20170701,2143,2249,"ADS, LC",,4118903,367265,,31.6,86.2,,,T18,Transect,4,TR-1-JUL-2017-01,,,1,R,46.3,508,Pee,,Y,117,,N,DY,Y,F,ID-900118001079449,9.00E+14,T18,,,okay,4118903,367265,,17,,N
968,10-May-16,20160510,22:05,0:42,"ADS, MRL, BN, NK",?,,,17.5,16.2,91.2,,,T18,Transect,1,TRAN-10-MAY-2016-01,,,1,N,51.3,#273/5,21.5,0.419103314,Y,125,L.L.,Y,Y,N,M,ID-982000406562923,9.82E+14,T18,9.82E+14,,OK,4118882,367230,,,,N
1229,1-Jul-17,20170701,2143,2249,"ADS, LC",,4118903,367265,,31.6,86.2,,,T18,Transect,4,TR-1-JUL-2017-01,,,6,R,55.9,513,21.5,0.384615385,Y,159,,N,Y,Y,F,ID-982000406563065,9.82E+14,T18,,,okay,4118915,367315,,21.1,,N
